npi,fraud_label,nppes_provider_gender,provider_type,line_srvc_cnt,bene_unique_cnt,bene_day_srvc_cnt,average_Medicare_allowed_amt,average_submitted_chrg_amt,average_Medicare_payment_amt,average_Medicare_standard_amt
1437418506,1,-1,36,77561.0,555.0,2464.0,9.2209752324,21.0,7.2292003713,2.9864491175
1437418506,1,-1,36,691.0,412.0,664.0,397.56040521,3500.0,311.27041968,334.60746744
1437418506,1,1,36,2526.0,235.0,1494.0,194.79958036,1800.0,152.70954078,169.25812352
1437418506,1,1,36,472.0,215.0,469.0,334.63822034,2500.0,261.74904661,286.56923729
1285651638,0,-1,62,2863.0,727.0,2851.0,3.0,7.0,2.9389731051,2.94
1285651638,0,-1,62,29117.0,8557.0,29029.0,11.151990245999999,41.999265034000004,10.925918536,10.930820139000001
1285651638,0,-1,62,33.0,22.0,33.0,8.576969697000001,39.0,8.4072727273,8.4072727273
1285651638,0,1,62,17556.0,7884.0,17556.0,12.662313169,46.0,12.385569036,12.408027455
1285651638,0,-1,62,7080.0,4833.0,7080.0,17.896076271,134.0,17.534237288,17.539536723
1285651638,0,-1,62,4692.0,946.0,4692.0,11.372821824,43.0,11.143889599000001,11.143889599000001
1285651638,0,1,62,99.0,87.0,99.0,65.34,373.0,64.03,64.03
1285651638,0,1,62,1556.0,999.0,1556.0,7.8579305913,41.0,7.6980912596,7.702705655499999
1285651638,0,1,62,265.0,109.0,265.0,19.98,162.0,19.58,19.58
1285651638,0,-1,62,34.0,17.0,34.0,18.18,160.0,17.82,17.82
1285651638,0,1,62,983.0,391.0,983.0,18.21,108.0,17.85,17.85
1285651638,0,1,62,2310.0,996.0,2309.0,18.58,143.0,18.202982684000002,18.21
1285651638,0,1,62,65.0,24.0,64.0,22.47,108.0,22.02,22.02
1285651638,0,-1,62,1284.0,507.0,1284.0,18.18,160.0,17.810288162,17.82
1285651638,0,-1,62,215.0,46.0,215.0,9.07,75.0,8.89,8.89
1285651638,0,1,62,44.0,23.0,44.0,18.18,148.0,17.82,17.82
1285651638,0,1,62,144.0,63.0,142.0,15.71,144.0,15.4,15.4
1285651638,0,-1,62,1064.0,235.0,1061.0,18.18,113.85,17.786503759000002,17.82
1285651638,0,-1,62,23.0,15.0,23.0,22.76,114.0,22.3,22.3
1285651638,0,1,62,1095.0,302.0,1074.0,18.58,118.0,18.154146119,18.21
1285651638,0,-1,62,13855.0,6704.0,13825.0,4.35,45.0,4.2573561891,4.26
1285651638,0,1,62,422.0,303.0,422.0,6.799905213300001,68.0,6.6605213270000005,6.6605213270000005
1285651638,0,1,62,146.0,119.0,146.0,7.64,104.0,7.49,7.7680821918
1285651638,0,1,62,15.0,12.0,15.0,23.01,107.4,22.55,22.55
1285651638,0,1,62,1448.0,534.0,1443.0,19.99,135.0,19.59,19.59
1285651638,0,1,62,165.0,145.0,165.0,8.89,57.0,8.6572121212,8.71
1285651638,0,-1,62,125.0,93.0,125.0,2.94664,54.0,2.88448,2.88448
1285651638,0,1,62,259.0,215.0,259.0,3.8488416988,37.0,3.7701158301,3.7701158301
1285651638,0,-1,62,624.0,402.0,624.0,21.82,47.52,21.38,21.38
1285651638,0,1,62,3595.0,2749.0,3595.0,37.28,232.0,36.50967733,39.782561892
1285651638,0,1,62,54.0,35.0,54.0,6.0174074074,37.0,5.8985185185,5.8985185185
1285651638,0,1,62,68.0,40.0,67.0,7.6573529412,91.0,7.506470588200001,7.506470588200001
1285651638,0,-1,62,25.0,19.0,25.0,26.01,130.0,25.49,25.49
1285651638,0,1,62,19.0,19.0,19.0,22.36,103.0,21.91,21.91
1285651638,0,1,62,717.0,456.0,714.0,4.9835564854,37.0,4.8782566248000006,4.8835285914
1285651638,0,-1,62,97.0,81.0,92.0,8.45,165.0,8.28,15.52
1285651638,0,1,62,117.0,100.0,116.0,4.9466666667000005,37.0,4.8484615385000005,4.8484615385000005
1285651638,0,-1,62,242.0,170.0,239.0,7.1,53.962066116,6.96,6.96
1285651638,0,-1,62,2401.0,2004.0,2401.0,20.68,115.0,20.253115369,20.27
1285651638,0,1,62,1216.0,803.0,1216.0,18.7,79.0,18.314925987,18.33
1285651638,0,-1,62,897.0,797.0,897.0,20.17,111.75919732,19.77,19.77
1285651638,0,1,62,25.0,24.0,25.0,23.71,156.0,23.24,23.28
1285651638,0,-1,62,92.0,32.0,36.0,12.76,77.95760869600001,12.50326087,12.50326087
1285651638,0,1,62,30.0,18.0,30.0,5.4896666667,37.975,5.3806666667,5.3806666667
1285651638,0,1,62,7330.0,4296.0,7330.0,13.32,73.26434106399999,13.045193724,13.05
1285651638,0,1,62,18.0,15.0,17.0,15.82,150.22222222,15.5,15.5
1285651638,0,1,62,1313.0,894.0,1311.0,8.88,37.0,8.6933739528,8.7
1285651638,0,1,62,1004.0,699.0,1004.0,11.99,89.0,11.75,11.75
1285651638,0,1,62,27.0,26.0,27.0,14.65,89.0,14.36,14.36
1285651638,0,1,62,58.0,39.0,58.0,5.8303448276,37.0,5.7134482759,5.7134482759
1285651638,0,-1,62,191.0,172.0,191.0,9.45,60.0,9.2115183246,9.26
1285651638,0,-1,62,5533.0,1786.0,5533.0,9.19,112.0,9.002016989,9.01
1285651638,0,1,62,77.0,64.0,73.0,17.72,132.0,17.37,17.37
1285651638,0,1,62,2113.0,1179.0,2113.0,46.56,221.0,45.63,45.63
1285651638,0,1,62,24.0,14.0,24.0,22.57,242.0,22.12,22.12
1285651638,0,1,62,15.0,13.0,15.0,6.76,66.0,6.62,8.89
1285651638,0,1,62,14.0,13.0,14.0,6.76,66.0,6.62,9.16
1285651638,0,-1,62,312.0,216.0,311.0,56.62,187.0,55.49,55.49
1285651638,0,-1,62,131.0,99.0,131.0,2.1263358779,37.0,2.0817557252000003,2.0817557252000003
1285651638,0,-1,62,711.0,384.0,711.0,5.6315049226,37.0,5.518677918400002,5.518677918400002
1285651638,0,1,62,757.0,339.0,755.0,6.247635402899999,37.0,6.118982826900001,6.118982826900001
1285651638,0,-1,62,5110.0,2532.0,5110.0,11.58,110.0,11.35,19.595452055
1285651638,0,1,62,173.0,112.0,173.0,25.23,165.26589595,24.73,24.73
1285651638,0,-1,62,165.0,131.0,165.0,2.6658787879,37.0,2.6110909091,2.6110909091
1285651638,0,1,62,184.0,132.0,184.0,5.03,44.980434783,4.93,4.93
1285651638,0,1,62,52.0,47.0,52.0,14.73,202.0,14.44,14.44
1285651638,0,1,62,63.0,35.0,63.0,6.3192063492,37.0,6.1946031746,6.1946031746
1285651638,0,1,62,17.0,16.0,17.0,6.67,36.63,6.54,6.54
1285651638,0,-1,62,28.0,19.0,28.0,34.94,233.0,34.24,34.24
1285651638,0,1,62,54.0,33.0,54.0,35.41,169.85185185,34.7,34.7
1285651638,0,-1,62,30.0,30.0,30.0,9.32,118.0,9.13,28.54
1285651638,0,1,62,984.0,734.0,984.0,9.42,47.991869918999996,9.214054877999999,9.23
1285651638,0,1,62,1345.0,1000.0,1345.0,12.37,119.0,12.107390335,12.12
1285651638,0,-1,62,11011.0,6360.0,11001.0,23.05,104.0,22.57151939,22.59
1285651638,0,1,62,150.0,113.0,150.0,2.3598,37.0,2.3107333333,2.3107333333
1285651638,0,1,62,179.0,131.0,179.0,3.0489944133999995,37.0,2.9868156425,2.9868156425
